Frequency,M,Station,On,Off,Language,Site,TX_Country,Days,Target,Notes,Pwr,Azi,Org_Country,Source,Date
16400,USB,JXN Marine Norway,0,2400,?,Novik,Norway,smtwtfs,NEu,no,,,Norway,EiBi,
18200,USB,VTX Indian Navy,0,2400,?,Vijayanarayanam (Tamil Nadu),India,smtwtfs,SAs,v,,,India,EiBi,
18300,USB,HWU French Navy,0,2400,?,Rosnay (HWU),France,smtwtfs,WEu,wu,,,France,EiBi,
19600,USB,GQD Anthorn,0,2400,?,Anthorn,UK,smtwtfs,WEu,an,,,UK,EiBi,
19800,USB,NWC US/Australian Navy,0,2400,?,"Exmouth, WA",Australia,smtwtfs,Oc ,ex,,,Australia,EiBi,
20500,CW,RJH66 Bishkek,441,447,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
20500,CW,RJH99 Nizhni Novgorod,541,547,Time Signal,Nizhni Novgorod,Russia,smtwtfs,EEu,nn,,,Russian Fed.,EiBi,
20500,AM,RJH69,741,747,Time Signal,Molodechno,Belarus,smtwtfs,EEu,mo,,,Belarus,EiBi,
20500,CW,RJH77 Arkhangelsk,941,947,Time Signal,Arkhangelsk Beta,Russ - Eur,smtwtfs,EEu,ak,,,Russian Fed.,EiBi,
20500,CW,RJH66 Bishkek,1041,1047,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
20500,CW,RJH63 Krasnodar,1131,1141,Time Signal,Krasnodar,Russia,smtwtfs,EEu,kd,,,Russian Fed.,EiBi,
20900,USB,HWU French Navy,0,2400,?,Rosnay (HWU),France,smtwtfs,WEu,wu,,,France,EiBi,
21400,USB,NPM US Navy,0,2400,?,Lualualei,Hawaii,smtwtfs,Oc ,L,,,Hawaii,EiBi,
21700,USB,HWU French Navy,0,2400,?,Rosnay (HWU),France,smtwtfs,WEu,wu,,,France,EiBi,
23000,CW,RJH66 Bishkek,435,441,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
23000,CW,RJH99 Nizhni Novgorod,535,541,Time Signal,Nizhni Novgorod,Russia,smtwtfs,EEu,nn,,,Russian Fed.,EiBi,
23000,AM,RJH69,735,741,Time Signal,Molodechno,Belarus,smtwtfs,EEu,mo,,,Belarus,EiBi,
23000,CW,RJH77 Arkhangelsk,935,941,Time Signal,Arkhangelsk Beta,Russ - Eur,smtwtfs,EEu,ak,,,Russian Fed.,EiBi,
23000,CW,RJH66 Bishkek,1035,1041,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
23000,CW,RJH63 Krasnodar,1126,1131,Time Signal,Krasnodar,Russia,smtwtfs,EEu,kd,,,Russian Fed.,EiBi,
23400,USB,DHO38 German Navy,0,2400,?,Rhauderfehn,Germany,smtwtfs,Eu ,rf,,,Germany,EiBi,
23400,USB,NPM US Navy,0,2400,?,Lualualei,Hawaii,smtwtfs,Oc ,L,,,Hawaii,EiBi,
24000,USB,NAA US Navy Cutler,0,2400,?,"Cutler, ME",USA,smtwtfs,NAO,cu,,,USA,EiBi,
24800,USB,NLK US Navy Jim Creek,0,2400,?,"Jim Creek, WA",USA,smtwtfs,NAO,jc,,,USA,EiBi,
25000,CW,RJH66 Bishkek,400,425,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
25000,CW,RJH99 Nizhni Novgorod,500,525,Time Signal,Nizhni Novgorod,Russia,smtwtfs,EEu,nn,,,Russian Fed.,EiBi,
25000,AM,RJH69,700,725,Time Signal,Molodechno,Belarus,smtwtfs,EEu,mo,,,Belarus,EiBi,
25000,CW,RJH77 Arkhangelsk,900,925,Time Signal,Arkhangelsk Beta,Russ - Eur,smtwtfs,EEu,ak,,,Russian Fed.,EiBi,
25000,CW,RJH66 Bishkek,1000,1025,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
25000,CW,RJH63 Krasnodar,1100,1120,Time Signal,Krasnodar,Russia,smtwtfs,EEu,kd,,,Russian Fed.,EiBi,
25100,CW,RJH66 Bishkek,425,430,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
25100,CW,RJH99 Nizhni Novgorod,525,530,Time Signal,Nizhni Novgorod,Russia,smtwtfs,EEu,nn,,,Russian Fed.,EiBi,
25100,AM,RJH69,725,730,Time Signal,Molodechno,Belarus,smtwtfs,EEu,mo,,,Belarus,EiBi,
25100,CW,RJH77 Arkhangelsk,925,930,Time Signal,Arkhangelsk Beta,Russ - Eur,smtwtfs,EEu,ak,,,Russian Fed.,EiBi,
25100,CW,RJH66 Bishkek,1025,1030,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
25100,CW,RJH63 Krasnodar,1120,1123,Time Signal,Krasnodar,Russia,smtwtfs,EEu,kd,,,Russian Fed.,EiBi,
25200,USB,NML US Navy,0,2400,?,"Lamoure, ND",USA,smtwtfs,NAm,lm,,,USA,EiBi,
25500,CW,RJH66 Bishkek,430,435,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
25500,CW,RJH99 Nizhni Novgorod,530,535,Time Signal,Nizhni Novgorod,Russia,smtwtfs,EEu,nn,,,Russian Fed.,EiBi,
25500,AM,RJH69,730,735,Time Signal,Molodechno,Belarus,smtwtfs,EEu,mo,,,Belarus,EiBi,
25500,CW,RJH77 Arkhangelsk,930,935,Time Signal,Arkhangelsk Beta,Russ - Eur,smtwtfs,EEu,ak,,,Russian Fed.,EiBi,
25500,CW,RJH66 Bishkek,1030,1035,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
25500,CW,RJH63 Krasnodar,1123,1126,Time Signal,Krasnodar,Russia,smtwtfs,EEu,kd,,,Russian Fed.,EiBi,
37500,USB,TFK Grindavik,0,2400,?,Keflavik/Grindavik,Iceland,smtwtfs,NEu,g,,,Iceland,EiBi,
40000,CW,"JJY (ID x15,x45)",0,2400,Time Signal,Mount Otakadoya,Japan,smtwtfs,FE ,o,,,Japan,EiBi,
40000,CW,Time Signal,0,2400,Time Signals,Otakadoyama Tamura C,Japan,smtwtfs,,NICT,50,ND,,Aoki,
45900,USB,NSY Sicily,0,2400,?,I-sy,Italy,smtwtfs,SEu,sy,,,Italy,EiBi,
60000,CW,"JJY (ID x15,x45)",0,2400,Time Signal,Mount Hagane,Japan,smtwtfs,FE ,h,,,Japan,EiBi,
60000,CW,MSF Time from NPL,0,2400,Time Signal,Anthorn,UK,smtwtfs,Eu ,an,,,UK,EiBi,
